Position X,Position Y,Position Z
757.885,860.16,254.79
908.132,831.432,242.355
866.17,843.913,248.388
888.534,858.021,251.581
869.992,861.786,252.847
1321.59,782.448,230.432
1272.96,780.26,239.633
1350.13,774.113,195.719
961.546,931.86,197.484
882.602,998.086,202.277
949.878,933.341,206.969
932.851,934.76,205.82
891.652,946.16,207.031
938.106,946.718,208.831
904.5,935.696,215.428
925.16,954.904,212.511
948.809,916.159,219.655
917.691,947.043,220.786
908.7,893.666,227.942
922.554,936.347,231.164
885.677,950.964,229.128
939.071,932.749,235.121
924.11,968.41,235.095
910.445,968.744,242.385
906.112,935.803,245.056
922.037,888.228,253.447
876.913,897.215,253.458
918.598,901.269,253.779
920.346,921.926,254.665
930.383,924.278,254.326
900.557,963.136,254.267
966.147,938.871,228.364
974.81,910.054,238.295
1027.28,904.489,249.597
1007.56,901.808,252.595
1373.1,965.878,201.255
1344.28,1002.35,218.563
1364,947.276,239.018
1372.64,1003.67,244.32
813.65,1018.54,210.02
1068.21,1100.61,255.335
1302.99,1035.17,253.107
1388.16,1119.66,192.48
1393.55,1101.05,224.871
1363.34,1100.64,235.522
1393.55,1012.95,245.654
1356.17,1035.36,247.291
1388.35,1008.44,248.508
1354.76,1018.4,255.009
1393.55,1085.58,253.64
1037.6,1133.09,241.567
1047.86,1152.52,255.106
1091.99,1132.24,213.127
1114.09,1150.98,220.155
1101.04,1157.32,237.342
1364.17,1130.99,209.628
1389.65,1186.33,221.724
1393.55,1232.42,242.318
1383.32,1230.56,244.133
1360.79,1242.44,248.954
703.681,1354.52,204.704
692.51,1274.6,251.624
1196.96,1357.46,230.55
1245.51,1318.5,192.863
1278.82,1320.32,192.718
1296.19,1321.18,193.875
1316.29,1265.76,198.413
1286.4,1319.53,197.675
1293.76,1306.13,203.747
1314.88,1306.14,209.73
1293.63,1261.15,229.619
1206.74,1326.59,230.673
1246.95,1344.69,228.871
1292.94,1287.97,238.341
1301.66,1291.85,236.801
1315.17,1356.8,240.885
1308.61,1357.55,245.599
1263.79,1353.13,251.133
1247.38,1365.65,253.509
1337.09,1325.68,201.931
1372.37,1334.87,200.024
1327.29,1321.2,211.053
1393.55,1339.76,218.035
1334.74,1289.94,221.425
1333.68,1315.34,221.688
1393.55,1349.7,226.942
1363.55,1306.87,230.306
1367.8,1275.53,239.629
1378.56,1352.06,236.465
1346.47,1285.64,251.757
426.315,1378.79,208.998
412.011,1384.19,208.276
387.581,1399.37,209.413
388.398,1413.44,238.249
387.167,1424.77,249.781
395.578,1447.26,252.594
1309.73,1473.96,251.292
1393.55,1482.57,244.718
1168.46,1594,242.299
1222.2,1585.38,244.921
1354.35,1568.63,216.704
1357.06,1650.27,241.738
777.716,1844.93,200.648
733.564,1840.62,208.773
1199.99,1870.09,227.319
1191.31,1883.93,230.911
1284.7,2173.94,204.113
1332.66,283.694,284.66
1362.26,272.836,310.194
703.327,342.251,266.918
663.357,355.967,294.201
1093.68,354.379,310.112
1393.55,300.381,274.989
1342.14,286.326,284.769
1376.67,287.393,295.026
1339.57,302.237,293.85
1325.39,317.497,293.888
1354.08,310.344,296.875
1369.88,327.163,296.515
1383.14,334.032,307.928
613.284,457.155,284.897
603.878,522.254,293.508
595.247,528.375,270.552
559.39,570.443,307.649
541.157,606.997,317.432
712.161,582.258,270.767
696.912,573.443,289.922
711.869,611.595,292.066
683.044,576.828,298.678
758.762,595.83,261.669
771.367,604.631,262.836
801.031,566.183,264.843
726.28,572.242,266.872
726.384,582.275,267.19
776.432,580.23,281.21
828.752,566.135,288.066
788.654,571.727,289.227
806.818,611.812,291.146
806.86,592.675,292.704
739.966,571.848,296.512
755.594,564.181,300.596
763.948,623.353,313.272
899.681,577.785,259.067
880.754,638.93,261.279
855.917,541.713,270.035
847.871,579.104,270.372
849.353,567.199,272.414
930.338,553.005,281.437
903.707,564.936,283.251
865.687,532.712,284.601
864.97,569.762,286.367
926.675,560.07,288.963
880.061,574.147,290.078
856.954,524.756,307.529
871.999,575.286,305.77
876.23,600.241,310.423
860.446,568.481,315.389
852.906,584.973,314.224
862.506,585.22,318.009
970.994,553.788,298.602
1000.82,583.504,307.463
1100.84,546.622,268.572
1159.41,531.836,282.839
1131,540.679,282.546
1149.53,534.855,284.476
1093.55,577.577,285.366
1115.89,622.636,299.703
1315.62,644.457,285.359
1393.55,610.829,267.363
1382.82,625.944,274.061
1362.52,626.154,275.838
1393.55,607.032,285.884
1349.07,637.172,287.557
1331.7,607.929,290.319
1324.97,630.536,298.798
1332.53,631.789,319.46
505.633,757.252,318.565
921.235,733.036,313.472
1037.33,693.645,298.481
1021.69,701.154,301.46
986.474,721.528,302.481
1044.46,660.559,306.732
1059.23,709.701,315.039
975.846,732.761,313.215
1114.82,687.016,275.195
1100.6,652.657,288.521
1127.06,685.36,312.295
1185.51,688.617,314.856
1317.09,752.018,270.356
1302.28,649.836,292.551
1298.13,737.38,307.148
1286.48,649.381,310.534
1217.9,701.985,317.598
1374.58,752.948,267.557
1393.55,754.303,268.809
1361.7,651.565,274.504
1384.67,731.192,281.687
1359.82,729.482,286.769
1338.03,750.262,284.681
1393.55,759.977,285.146
1371.78,688.004,293.429
1326.96,732.412,294.353
1384.4,714.105,305.794
1359.77,756.149,307.092
1349.04,712.237,310.701
