Position X,Position Y,Position Z
1892.65,5062.16,1807.02
1810.52,5083.64,1821
1812.45,5096.07,1822.67
1930.91,5069.61,1762
1898.3,5126.89,1782.33
1945.97,5049.55,1789.8
1970.93,5097.13,1808.74
2048.09,5099.08,1768.77
2114.68,5103.23,1793.28
2119.71,5032.94,1797.52
2042,5102.8,1797.45
2304.94,5109.56,1766.17
2376.24,5062.12,1806.69
1028.84,5184.65,1789.03
1007.19,5246.92,1791.5
996.721,5136.54,1792.58
1045.86,5179.44,1809.93
1058.32,5188.73,1774.04
1065.51,5135.46,1809.33
1198.23,5151.02,1762
1229.54,5248.44,1816.41
1333.42,5218.8,1773.26
1332.17,5210.36,1790.11
1344.38,5206.88,1805.93
1363.94,5216.74,1810.46
1492.08,5156.06,1762
1491.58,5224.7,1789.86
1487.21,5129.39,1813.15
1555.4,5233.18,1762
1562.43,5166.73,1783.86
1614.15,5180.57,1780.87
1598.26,5138.78,1788.82
1548.54,5232.12,1801.47
1566.41,5170.1,1804.54
1535.5,5222.5,1804.22
1549.37,5230.23,1815.45
1756.1,5176.63,1762
1765.93,5178.64,1762
1743.41,5207.48,1771.02
1717.37,5138.27,1772.39
1773.75,5176.73,1774.73
1756.07,5167,1782.92
1745.42,5189.83,1796.54
1754.48,5186.12,1801.9
1690.86,5133.16,1820.34
1849.23,5147.12,1762
1817.54,5147.99,1762
1822.17,5156.1,1762
1829.7,5158.6,1762
1889.43,5211.14,1769.44
1829.44,5180.5,1778.62
1821.77,5192.07,1780.66
1784.15,5137.07,1786.03
1816.65,5182.49,1786.58
1884.86,5198.96,1789.74
1783.49,5162.64,1793.21
1804.74,5166.17,1798.65
1803.13,5171.41,1814.21
1873.24,5197.94,1817.1
1917.44,5139.29,1777.79
1897.93,5210.75,1784.7
1925.1,5141.85,1790.57
1995.75,5139.77,1792.98
2009.28,5231.68,1798.47
1978.19,5184.51,1805.19
2080.97,5236.32,1783.66
2084.84,5193.21,1787.12
2085.11,5158.32,1809.87
2117.97,5240.68,1809.05
2054.43,5168.28,1819.26
2045.17,5228.48,1817.85
2170.75,5184.39,1805.56
2195.49,5219.58,1812.56
2356.76,5145.29,1770.59
2361.3,5213.53,1799.02
2324.81,5217.38,1808.31
2456.96,5174.07,1776.47
2459.59,5202.58,1789.48
2451.72,5209.32,1790.57
1132.41,5342.39,1782.31
1120.43,5267.08,1785.87
1076.49,5281.9,1802.56
1181.4,5267.08,1762
1376.44,5252.68,1762
1364.82,5368.33,1762
1388.92,5284.77,1764.18
1378,5271.22,1768.8
1335.68,5289.87,1786.55
