Position X,Position Y,Position Z
1114.26,4667.41,1866.28
1244.34,4699.51,1834.08
1317.16,4652.73,1826.89
1334.4,4680.02,1827.08
1389.5,4711.92,1854.67
1455.41,4749.82,1824.04
1727.02,4715.21,1833.01
1697.47,4756.37,1834.06
1690.39,4758.31,1834.3
1731.71,4709.77,1837.24
1721.99,4664.57,1847.11
1722.86,4761.74,1850.17
1673.07,4710.51,1866.46
1774.94,4711.21,1877.82
1682.89,4753.17,1886.26
1813.15,4691.55,1875.05
1796.88,4674.73,1882.28
1780.73,4703.12,1882.45
1790.31,4688.44,1885.33
1905.7,4759.89,1852.33
1526.82,4794.16,1857.55
1431.03,4804.66,1856.91
1591.33,4858.63,1869.14
1609.83,4857.73,1874.42
1617.14,4868.95,1872.84
1694.98,4795.23,1825.6
1741,4777.69,1834.71
1744.95,4772.32,1839.87
1691.88,4769.04,1847.6
1690.72,4807.53,1845.84
1682.13,4809.13,1846.25
1677.39,4796.5,1851.75
1729.05,4839,1851.24
1693.79,4798.38,1857.97
1955.56,4833.64,1837.25
2030.43,4782.14,1877.53
2280.8,4845.82,1881.65
1138.53,4933.96,1826.05
1768.08,4943.01,1886.29
1864.16,4947.23,1875.47
1883.18,4991.63,1873.36
2016.76,4891.49,1825.4
2019.14,4889.67,1832.84
2216.33,4998.63,1829.94
2215.27,4980.1,1856.34
1103.04,5052.11,1886.03
1755.18,5109.92,1825.19
1868.6,5068.68,1854.35
1877.75,5013.54,1858.71
1864.05,5090.18,1857.95
1859.05,5108.9,1859.32
1878.28,5063.07,1861.47
1788.59,5123.46,1868.84
1845.6,5123.56,1878.2
1777.41,5120.32,1882.89
1832.93,5119.31,1886.04
1953.77,5103.85,1882
2213.46,5071.21,1830.28
1077.74,5135.42,1844.28
1760.88,5177.33,1833.29
1759.26,5185.77,1837.56
1764.91,5205.67,1843.31
1760.79,5171.65,1851.09
1778.3,5190.75,1826.93
1802.36,5246.66,1827.43
1866,5156.84,1834.14
1818.99,5149.55,1842.44
1844.9,5142.03,1844.86
1861.44,5144.34,1845.75
1792.24,5161.43,1845.13
1810.76,5148.72,1855.02
1790.22,5134.01,1857.9
1781.55,5141.08,1856.88
1819.07,5137.87,1866.07
1791.29,5136.52,1874.53
1871.32,5130.92,1878.06
1967.62,5236.25,1827.93
1996.62,5239.94,1843.74
2277.1,5245.54,1852
1474.08,5292.4,1874.59
1885.49,5293.8,1825.97
1844.87,5276.32,1829.75
1887.99,5273.53,1846.72
2001.27,5249.79,1838.11
2002.46,5300.42,1837.21
1901.45,5265.56,1848.19
1907.08,5286.65,1870.24
1972.08,5304.51,1878.06
1988.01,5303.89,1882.14
2054.78,5340.09,1840.98
2089.56,5313.57,1858.7
2037.81,5254.67,1875.22
2027.2,5308.19,1875.67
2074.3,5281.25,1886.84
2059.63,5311.27,1886.66
2178.63,5257.78,1868.97
2333.71,5333.2,1880.18
2459.59,5325.68,1863.79
2390,5366.06,1874.37
1274.71,5380.28,1861.76
1405.22,5388.47,1856.4
2303.39,5385.47,1855.65
2344.81,5388.52,1859.79
2415.02,5381.91,1845.99
2398.37,5374.32,1857.15
1356.36,5591.94,1842.63
1766.07,5495.36,1829.33
1134.59,5658.53,1859.78
1298.92,5665.74,1873.51
1308.47,5660.63,1879.46
1636.15,5715.85,1877.95
994.594,5806.88,1833.85
1074.89,5757.94,1829.33
1059.61,5788.62,1838.32
1086.86,5788.76,1838.69
1108.39,5781.4,1848.69
1168.57,5840.88,1867.6
1100.34,5795.66,1882.72
1234.15,5760.2,1841.37
1240.85,5769.6,1848.96
1208.58,5782.48,1853.14
1184.59,5811.33,1862.91
2364.9,5775.86,1840.8
2367.3,5734.34,1885.15
1792.93,5961.7,1837.75
1906.19,5872.92,1842.6
2257.55,5915.93,1879.24
2253.23,5934.09,1880.78
2301.65,5934.86,1878.16
2394.68,5959.26,1838.97
1966.63,6034.3,1857.89
1984.17,6037.18,1867.25
2022.25,6035.88,1870.08
2349.98,6073.36,1834.16
2350.34,6073.86,1858.57
2459.59,6031.75,1878.14
2156.42,6109.91,1841.42
2151.93,6103.42,1854.28
1619.15,4389.19,1910.3
1598.78,4363.28,1938.83
2198.65,4287.93,1945.88
2459.59,4312.67,1922.83
1561.46,4412.92,1903.26
1635.73,4442.25,1942.43
1718.49,4483.59,1898.83
1660.09,4486.23,1944.62
1067.25,4622.25,1911.46
1061.56,4628.28,1913.11
1334.24,4548.77,1894.44
1343.8,4540.1,1905.9
1354.14,4529.75,1921.83
1362.39,4524.32,1939
1708.45,4609.02,1893.61
1768.69,4620.26,1922.6
1776.43,4631.55,1933.52
1759.21,4627.1,1938.21
1762.08,4638.72,1942.93
1819.1,4600.32,1900.12
1779.3,4643.86,1939.28
1932.85,4591.39,1948.51
992.708,4694.27,1918.19
1218.82,4650.84,1934.16
1681.7,4735.29,1889.34
1713.57,4646.98,1897.71
1698.25,4681.87,1897.82
1688.15,4740.39,1897.66
1700.81,4689.29,1902.54
1731.88,4654.97,1905.98
1696,4728.24,1905.86
1724.32,4672.34,1910.02
1710.86,4692.12,1910.14
1700.85,4697.01,1909.42
1700.29,4722.14,1910.83
1758.78,4646.37,1912.92
1703.61,4713.43,1915.38
1717.92,4697.48,1918.25
1707.08,4738.29,1918.39
1746.24,4660,1921.65
1656.34,4663.23,1926.42
1685.86,4687.21,1927.38
1693.68,4709.57,1924.19
1764.96,4660.94,1929.89
1663.55,4675.73,1929.72
1745.09,4684.94,1930.17
1772.36,4687.35,1930.88
1738.08,4701.34,1934.85
1755.34,4695.94,1938.23
1698.96,4703.87,1941.86
1748.84,4705.47,1941.89
1729.23,4748.26,1946.06
1760.01,4709.24,1950.04
1726.78,4711.9,1950.65
1805.26,4650.29,1898.26
1796.98,4673.22,1898.93
1790.34,4688.28,1898.3
1801.79,4656.65,1901.59
1783.63,4700.35,1905.28
1890.34,4666.66,1946.93
2105.9,4672.23,1930.85
2117.09,4672.49,1934.81
967.291,4805.39,1947.06
1406.45,4776.78,1933.71
1525.16,4783.66,1899.39
1539.03,4789.51,1899.44
1572.9,4807.34,1899.11
1647.52,4827.12,1920.89
1651.91,4840.99,1922.53
1702.61,4779.66,1890.13
1720.3,4793.61,1895.21
1760.16,4801.42,1910.08
1775.48,4809.42,1921.39
1717.55,4769.66,1942.08
1722.89,4771.7,1950.51
1870.34,4842.16,1906.85
1789.18,4806.8,1920.44
1790.44,4814.89,1925.02
2089.54,4798.62,1940.87
1111.92,4945.15,1890.24
1587.02,4887.08,1926.41
1674.47,4961.9,1900.46
1769.62,4912.31,1940.59
1768.28,4920.2,1940.49
1723.68,4916.76,1951.03
1798.57,4920.82,1889.13
1784.78,4900.72,1904.83
2033.53,5001.21,1929.56
2042.94,4997.59,1935.74
2078.91,4974.24,1941.02
2145.78,4926.43,1942.1
1097.38,5049.39,1898.08
1761.04,5032.49,1896.16
1781.46,5111.46,1889.88
1828.98,5112.96,1893.26
1799.11,5114.45,1894.12
1788.35,5092.3,1902
1792.49,5091.26,1908.92
1781.36,5044.4,1934.41
1806.09,5079.07,1933.25
1818.15,5084.01,1934.9
1808.18,5068.3,1937.14
1794.2,5048.99,1942.13
1824.33,5072.41,1949.63
2046.53,5064.88,1934.12
2367.73,5127.63,1950.15
2399.75,5113.82,1892.65
2393.32,5114.81,1914.9
1544.12,5247.27,1903.85
1720.53,5147.69,1889.96
1736.76,5221.07,1925.91
1890.04,5144.28,1893.39
1828.42,5187.1,1894.19
1880.61,5178.65,1918.63
1211.73,5272.69,1902.49
1296.14,5263.17,1929.44
1864.03,5364.68,1938.35
1982.3,5285.64,1914.37
2021.5,5304.7,1894.64
2081.45,5369.31,1896.74
2097.33,5280.82,1904.81
2079.23,5264.17,1910.31
2085.67,5311.51,1926.01
2129.15,5314.93,1924.72
2080.76,5337.88,1925.32
2178.39,5290.1,1897.21
2239.12,5359.23,1902.16
2244.74,5322.79,1905.07
2210.54,5330.24,1911.31
2181.69,5318.47,1916.26
2220.82,5353.88,1918.92
2150.76,5328.71,1936.18
2182.66,5342.34,1947.36
2306.78,5363.22,1912.73
2275.08,5323.41,1950.12
1257.71,5401.1,1896.88
